policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,deadline_sweep_ms
confidence_deadline,stable,106,50.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,106,50.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
oracle_feasible,stable,106,50.0,1000,24.716410963251104,33.86074949026578,34.68730165917939,34.933586993197196,24.716410963251104,0.0,0.7229428904328138,0.7229428904328138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
local_only,stable,107,50.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,24.88557902804772,0.0,0.7245133185042392,0.7245133185042392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
edge_only,stable,107,50.0,1000,74.88557902804772,83.83424628214374,84.89267109559948,84.9936438529993,74.88557902804772,1.0,0.7245133185042392,0.0,25000.0,25.0,25000.0,1.0,0.0,0.0,1.0,0.989,0.0,0.0,0.989,0.0,0.011,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
cloud_only,stable,107,50.0,1000,74.88557902804772,83.83424628214374,84.89267109559948,84.9936438529993,74.88557902804772,1.0,0.7245133185042392,0.0,35000.0,35.0,35000.0,1.0,0.0,0.0,1.0,0.988,0.0,0.0,0.988,0.0,0.012,0.0,0.0,100.0,0.0,0.0,0,0.0,50.0
dapper,stable,107,50.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,24.88557902804772,0.0,0.7245133185042392,0.7245133185042392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
deadline_greedy,stable,107,50.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,24.88557902804772,0.0,0.7245133185042392,0.7245133185042392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
confidence_deadline,stable,107,50.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,24.88557902804772,0.0,0.7245133185042392,0.7245133185042392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
rtt_threshold,stable,107,50.0,1000,24.88557902804772,33.83424628214373,34.89267109559948,34.9936438529993,24.88557902804772,0.0,0.7245133185042392,0.7245133185042392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0,50.0
