deadline_sweep_ms,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
50.0,congested,dapper,pct_degraded_safe,99.80666666666667,0.1387961376122998,99.75666666666666,99.85333333333334,30
50.0,congested,deadline_greedy,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,p95_latency_ms,33.94268972592376,0.09803104261482531,33.906854831430806,33.97630119170664,30
50.0,congested,deadline_greedy,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748642896298946,34.7879694671568,30
50.0,congested,deadline_greedy,mean_latency_ms,25.012597088142645,0.18113657767527264,24.949225112390963,25.077791277753096,30
50.0,congested,deadline_greedy,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,deadline_greedy,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,deadline_greedy,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,fallback_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,reuse_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,pct_local_fast,100.0,0.0,100.0,100.0,30
50.0,congested,deadline_greedy,pct_edge_accurate,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,pct_hybrid,0.0,0.0,0.0,0.0,30
50.0,congested,deadline_greedy,pct_degraded_safe,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,deadline_miss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,p95_latency_ms,33.94268972592376,0.09803104261482531,33.906854831430806,33.97630119170664,30
50.0,congested,confidence_deadline,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748642896298946,34.7879694671568,30
50.0,congested,confidence_deadline,mean_latency_ms,25.012597088142645,0.18113657767527264,24.949225112390963,25.077791277753096,30
50.0,congested,confidence_deadline,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,confidence_deadline,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243536843822596,0.725520489679899,30
50.0,congested,confidence_deadline,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,remote_attempt_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,remote_accept_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
50.0,congested,confidence_deadline,fallback_rate,0.0,0.0,0.0,0.0,30
