bias_target,bias,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
rtt,0.0,congested,dapper,mean_output_confidence,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
rtt,0.0,congested,dapper,bandwidth_per_1000_frames_kb,2.5,7.628214415734117,0.0,5.833333333333333,30
rtt,0.0,congested,dapper,remote_attempt_rate,0.0001,0.00030512857662936464,0.0,0.00023333333333333333,30
rtt,0.0,congested,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,remote_rejected_deadline_rate,0.1,0.30512857662936466,0.0,0.23333333333333334,30
rtt,0.0,congested,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,fallback_rate,0.007433333333333334,0.0027628487713469464,0.006500000000000001,0.008433333333333336,30
rtt,0.0,congested,dapper,reuse_rate,0.007433333333333334,0.0027628487713469464,0.006500000000000001,0.008433333333333336,30
rtt,0.0,congested,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,mode_switches_per_1000,12.133333333333333,4.032055463949847,10.733333333333333,13.533333333333333,30
rtt,0.0,congested,dapper,pct_local_fast,99.24666666666667,0.28494806947731727,99.14333333333335,99.34333333333335,30
rtt,0.0,congested,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,pct_hybrid,0.010000000000000002,0.030512857662936467,0.0,0.02333333333333333,30
rtt,0.0,congested,dapper,pct_degraded_safe,0.7433333333333334,0.2762848771346947,0.6499999999999999,0.8433333333333334,30
rtt,0.0,variable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,variable,dapper,p95_latency_ms,33.74407704498113,0.2126750836043015,33.67003978984998,33.81916560257354,30
rtt,0.0,variable,dapper,p99_latency_ms,34.714468841675405,0.09257023559024172,34.679345892530314,34.74441433608218,30
rtt,0.0,variable,dapper,mean_latency_ms,20.905161109397675,0.7368320428921273,20.650185695044428,21.16334665084393,30
rtt,0.0,variable,dapper,usable_confidence_proxy,0.731537829380306,0.002505299049290559,0.7306391558488198,0.7323760019224644,30
rtt,0.0,variable,dapper,mean_output_confidence,0.7256041346457223,0.001953260708744225,0.7249268098645119,0.7262791294460033,30
rtt,0.0,variable,dapper,bandwidth_per_1000_frames_kb,5777.5,618.9308774285564,5560.791666666666,5989.229166666666,30
rtt,0.0,variable,dapper,remote_attempt_rate,0.2311,0.02475723509714226,0.22243166666666667,0.23956916666666667,30
rtt,0.0,variable,dapper,remote_accept_rate,0.1593225904647559,0.030227815733317422,0.14854986769116424,0.16977120142322374,30
rtt,0.0,variable,dapper,remote_accepted_per_frame,0.03679999999999999,0.008243701880202556,0.03400000000000001,0.03976666666666666,30
rtt,0.0,variable,dapper,remote_rejected_deadline_rate,0.7687412516943987,0.03144991902511748,0.7573523738018126,0.7796160282186023,30
rtt,0.0,variable,dapper,remote_failed_loss_rate,0.07193615784084549,0.016135950496985536,0.06638961513178773,0.07778178250251701,30
rtt,0.0,variable,dapper,fallback_rate,0.21943333333333334,0.040132266950356946,0.20549999999999996,0.23376666666666665,30
rtt,0.0,variable,dapper,reuse_rate,0.16830000000000003,0.030488154850808802,0.15770000000000003,0.17916666666666664,30
rtt,0.0,variable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,variable,dapper,mode_switches_per_1000,315.43333333333334,16.716053265696694,309.5991666666667,321.56666666666666,30
rtt,0.0,variable,dapper,pct_local_fast,60.05999999999999,2.943326759602662,59.00658333333334,61.09666666666667,30
rtt,0.0,variable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,0.0,variable,dapper,pct_hybrid,23.11,2.475723509714226,22.243166666666664,23.956916666666668,30
rtt,0.0,variable,dapper,pct_degraded_safe,16.83,3.0488154850808806,15.770000000000003,17.916666666666668,30
rtt,0.1,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
rtt,0.1,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
rtt,0.1,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
