policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000,bias_target,rtt_estimate_bias,compute_estimate_bias,bias
dapper,congested,121,100.0,1000,24.670024513531853,33.750343569648706,34.75280697328194,34.996277370025744,24.670024513531853,0.0,0.7242193034879331,0.7242193034879331,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,10,10.0,compute,0.0,0.2,0.2
dapper,congested,122,100.0,1000,24.53787182490916,33.83751458842038,34.770700984913006,34.91653465760954,24.53787182490916,0.0,0.726925307989091,0.726925307989091,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,1.3,14,14.0,compute,0.0,0.2,0.2
dapper,congested,123,100.0,1000,24.972968667791022,34.0068905091913,34.771507219222585,34.98883073588995,24.972968667791022,0.0,0.7231981737549722,0.7231981737549722,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.2,4,4.0,compute,0.0,0.2,0.2
dapper,congested,124,100.0,1000,24.68398444976012,33.74309287533703,34.66363593071505,34.94326242767353,24.68398444976012,0.0,0.7246698111318651,0.7246698111318651,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,10,10.0,compute,0.0,0.2,0.2
dapper,congested,125,100.0,1000,24.725669553063664,34.05786747219948,34.83418763630404,34.99974319601896,24.725669553063664,0.0,0.7228975062228786,0.7228975062228786,0.0,0.0,0.0,0.012,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,0.0,1.2,14,14.0,compute,0.0,0.2,0.2
dapper,congested,126,100.0,1000,24.961010734873252,33.97988585528562,34.774114294105054,34.99086328598782,24.961010734873252,0.0,0.7258907807888281,0.7258907807888281,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.2,4,4.0,compute,0.0,0.2,0.2
dapper,congested,127,100.0,1000,24.79915459305446,33.97839515917549,34.71031183612322,34.99801668883106,24.79915459305446,0.0,0.7241769809830646,0.7241769809830646,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,18,18.0,compute,0.0,0.2,0.2
dapper,congested,128,100.0,1000,24.671514882986425,34.08647701991846,34.783499539553866,34.99302751306131,24.671514882986425,0.0,0.72324842617587,0.72324842617587,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,12,12.0,compute,0.0,0.2,0.2
dapper,congested,129,100.0,1000,24.599702966215787,33.90591045177916,34.77957296022762,34.981958638619645,24.599702966215787,0.0,0.7227863941222297,0.7227863941222297,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,1.3,20,20.0,compute,0.0,0.2,0.2
dapper,variable,100,100.0,1000,19.847097399190012,33.61420558459003,34.76027410675784,34.95054826151675,21.1441304158454,0.0,0.7259116438296801,0.7291235328703708,1525.0,1.525,1525.0,0.284,0.216,0.0,0.061,0.9180327868852459,0.3442622950819672,0.021,0.5737704918032787,0.0,0.08196721311475409,0.0,72.3,0.0,6.1,21.6,230,230.0,compute,0.0,0.2,0.2
