swept_parameter,swept_value,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
risk_local_threshold,0.3,variable,dapper,remote_attempt_rate,0.0037666666666666673,0.002207875142230231,0.003000000000000001,0.0045333333333333345,30
risk_local_threshold,0.3,variable,dapper,remote_accept_rate,0.5663492063492065,0.33050153774671204,0.4463492063492064,0.6813849206349202,30
risk_local_threshold,0.3,variable,dapper,remote_accepted_per_frame,0.002266666666666667,0.0019286109586656034,0.0016000000000000005,0.0029333333333333342,30
risk_local_threshold,0.3,variable,dapper,remote_rejected_deadline_rate,0.36865079365079356,0.33303005399430596,0.2578571428571429,0.49199007936507927,30
risk_local_threshold,0.3,variable,dapper,remote_failed_loss_rate,0.065,0.14558311867948306,0.01944444444444444,0.12166666666666666,30
risk_local_threshold,0.3,variable,dapper,fallback_rate,0.21943333333333334,0.040132266950356946,0.20549999999999996,0.23376666666666665,30
risk_local_threshold,0.3,variable,dapper,reuse_rate,0.16830000000000003,0.030488154850808802,0.15770000000000003,0.17916666666666664,30
risk_local_threshold,0.3,variable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,variable,dapper,mode_switches_per_1000,126.73333333333333,21.020406068017998,119.33333333333333,134.03333333333333,30
risk_local_threshold,0.3,variable,dapper,pct_local_fast,82.79333333333332,3.0239199648838224,81.72325,83.85,30
risk_local_threshold,0.3,variable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,variable,dapper,pct_hybrid,0.3766666666666667,0.22078751422302306,0.3,0.4533333333333333,30
risk_local_threshold,0.3,variable,dapper,pct_degraded_safe,16.83,3.0488154850808806,15.770000000000003,17.916666666666668,30
risk_local_threshold,0.3,outage,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,p95_latency_ms,31.18838425196936,0.5009047087578914,31.014573146138307,31.359947063348404,30
risk_local_threshold,0.3,outage,dapper,p99_latency_ms,34.18711647171901,0.2345203938192105,34.10222418561493,34.27049382149214,30
risk_local_threshold,0.3,outage,dapper,mean_latency_ms,7.381609814192322,0.14348774576691167,7.331697649688182,7.433717812533078,30
risk_local_threshold,0.3,outage,dapper,usable_confidence_proxy,0.7255264574970844,0.00273138929991575,0.7245230285258677,0.7264802357218441,30
risk_local_threshold,0.3,outage,dapper,mean_output_confidence,0.7255264574970844,0.00273138929991575,0.7245230285258677,0.7264802357218441,30
