profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
stable,rtt_threshold,remote_accept_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,mode_switches_per_1000,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,pct_local_fast,100.0,0.0,100.0,100.0,30
stable,rtt_threshold,pct_edge_accurate,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,pct_hybrid,0.0,0.0,0.0,0.0,30
stable,rtt_threshold,pct_degraded_safe,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,mean_latency_ms,56.844452458966884,1.0822797819502115,56.45809670243425,57.215152433396945,30
stable,oracle_feasible,p95_latency_ms,97.53004413558443,0.3102627822443879,97.42176132608394,97.63625027953763,30
stable,oracle_feasible,p99_latency_ms,99.50507143434609,0.12392426016749884,99.4581041826433,99.54633220273085,30
stable,oracle_feasible,deadline_miss_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,usable_confidence_proxy,0.8018397604921572,0.003217967031190964,0.8006917984108397,0.8029416194333966,30
stable,oracle_feasible,mean_output_confidence,0.8018397604921572,0.003217967031190964,0.8006917984108397,0.8029416194333966,30
stable,oracle_feasible,bandwidth_per_1000_frames_kb,12808.333333333334,432.68076416471405,12654.166666666666,12956.666666666666,30
stable,oracle_feasible,bandwidth_per_frame_kb,12.808333333333334,0.4326807641647141,12.654166666666667,12.956666666666667,30
stable,oracle_feasible,fallback_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,reuse_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,remote_attempt_rate,0.5123333333333334,0.017307230566588578,0.5061666666666667,0.5182666666666668,30
stable,oracle_feasible,remote_accept_rate,1.0,0.0,1.0,1.0,30
stable,oracle_feasible,remote_accepted_per_frame,0.5123333333333334,0.017307230566588578,0.5061666666666667,0.5182666666666668,30
stable,oracle_feasible,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,remote_rejected_freshness_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,mode_switches_per_1000,493.3,14.943918149373424,488.1,498.8333333333333,30
stable,oracle_feasible,pct_local_fast,48.766666666666666,1.7307230566588565,48.17333333333333,49.38333333333333,30
stable,oracle_feasible,pct_edge_accurate,51.233333333333334,1.7307230566588578,50.61666666666667,51.826666666666675,30
stable,oracle_feasible,pct_hybrid,0.0,0.0,0.0,0.0,30
stable,oracle_feasible,pct_degraded_safe,0.0,0.0,0.0,0.0,30
congested,local_only,mean_latency_ms,25.012597088142645,0.18113657767527264,24.94831415515531,25.07737720340451,30
congested,local_only,p95_latency_ms,33.94268972592376,0.09803104261482531,33.905792187259216,33.976328928607806,30
congested,local_only,p99_latency_ms,34.769178949662624,0.05524239382592479,34.748569083090636,34.787550646852715,30
congested,local_only,deadline_miss_rate,0.0,0.0,0.0,0.0,30
congested,local_only,usable_confidence_proxy,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,local_only,mean_output_confidence,0.7249282051819181,0.0016092933478095927,0.7243644131564243,0.7255162553009149,30
congested,local_only,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
congested,local_only,bandwidth_per_frame_kb,0.0,0.0,0.0,0.0,30
congested,local_only,fallback_rate,0.0,0.0,0.0,0.0,30
