metric,policy_a,policy_b,profile,n_seeds,mean_diff,ci_lo,ci_hi,std,excludes_zero,a_mean,b_mean
bandwidth_per_1000_frames_kb,dapper,deadline_greedy,stable,30,21621.666666666668,21499.166666666668,21735.833333333332,335.8425671130112,True,21621.666666666668,0.0
mean_latency_ms,dapper,deadline_greedy,stable,30,0.0,0.0,0.0,0.0,False,25.02027748999063,25.02027748999063
deadline_miss_rate,dapper,confidence_deadline,stable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,confidence_deadline,stable,30,0.0,0.0,0.0,0.0,False,33.984265110354684,33.984265110354684
usable_confidence_proxy,dapper,confidence_deadline,stable,30,0.07103096056039747,0.06999452617075337,0.07201709523182788,0.0028594121559587025,True,0.7959976928158301,0.7249667322554326
bandwidth_per_1000_frames_kb,dapper,confidence_deadline,stable,30,21621.666666666668,21499.166666666668,21735.833333333332,335.8425671130112,True,21621.666666666668,0.0
mean_latency_ms,dapper,confidence_deadline,stable,30,0.0,0.0,0.0,0.0,False,25.02027748999063,25.02027748999063
deadline_miss_rate,dapper,rtt_threshold,stable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,rtt_threshold,stable,30,0.0,0.0,0.0,0.0,False,33.984265110354684,33.984265110354684
usable_confidence_proxy,dapper,rtt_threshold,stable,30,0.07103096056039747,0.06999452617075337,0.07201709523182788,0.0028594121559587025,True,0.7959976928158301,0.7249667322554326
bandwidth_per_1000_frames_kb,dapper,rtt_threshold,stable,30,21621.666666666668,21499.166666666668,21735.833333333332,335.8425671130112,True,21621.666666666668,0.0
mean_latency_ms,dapper,rtt_threshold,stable,30,0.0,0.0,0.0,0.0,False,25.02027748999063,25.02027748999063
deadline_miss_rate,dapper,oracle_feasible,stable,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,oracle_feasible,stable,30,-63.54577902522974,-63.65759953384398,-63.430115981233875,0.3257201701305873,True,33.984265110354684,97.53004413558443
usable_confidence_proxy,dapper,oracle_feasible,stable,30,-0.005842067676327241,-0.006115042932905248,-0.005559615922972379,0.0007828098490027797,True,0.7959976928158301,0.8018397604921572
bandwidth_per_1000_frames_kb,dapper,oracle_feasible,stable,30,8813.333333333334,8613.333333333334,9021.666666666666,585.7405176552058,True,21621.666666666668,12808.333333333334
mean_latency_ms,dapper,oracle_feasible,stable,30,-31.82417496897626,-32.20486667348092,-31.429964061352393,1.108692300452022,True,25.02027748999063,56.844452458966884
deadline_miss_rate,dapper,local_only,congested,30,0.0,0.0,0.0,0.0,False,0.0,0.0
p95_latency_ms,dapper,local_only,congested,30,-0.006056330297488207,-0.011467731221755113,-0.0018764352867677967,0.01374405858321338,True,33.93663339562628,33.94268972592376
usable_confidence_proxy,dapper,local_only,congested,30,3.438769835493553e-05,-3.289185139498181e-05,0.0001007471911412309,0.0001905537198935076,False,0.724962592880273,0.7249282051819181
bandwidth_per_1000_frames_kb,dapper,local_only,congested,30,2.5,0.0,5.833333333333333,7.628214415734117,False,2.5,0.0
mean_latency_ms,dapper,local_only,congested,30,-0.18071063342183205,-0.20583783043820453,-0.15587085823663646,0.07144776170972846,True,24.831886454720813,25.012597088142645
deadline_miss_rate,dapper,edge_only,congested,30,-1.0,-1.0,-1.0,0.0,True,0.0,1.0
p95_latency_ms,dapper,edge_only,congested,30,-100.0060563302975,-100.01146773122177,-100.00187643528677,0.013744058583212445,True,33.93663339562628,133.9426897259238
usable_confidence_proxy,dapper,edge_only,congested,30,0.724962592880273,0.7244213882112449,0.7255313473425076,0.001562881778886257,True,0.724962592880273,0.0
bandwidth_per_1000_frames_kb,dapper,edge_only,congested,30,-24997.5,-25000.0,-24994.166666666668,7.628214415734117,True,2.5,25000.0
mean_latency_ms,dapper,edge_only,congested,30,-100.18071063342182,-100.2058378304382,-100.15587085823664,0.07144776170972553,True,24.831886454720813,125.01259708814266
deadline_miss_rate,dapper,cloud_only,congested,30,-1.0,-1.0,-1.0,0.0,True,0.0,1.0
p95_latency_ms,dapper,cloud_only,congested,30,-100.0060563302975,-100.01146773122177,-100.00187643528677,0.013744058583212445,True,33.93663339562628,133.9426897259238
usable_confidence_proxy,dapper,cloud_only,congested,30,0.724962592880273,0.7244213882112449,0.7255313473425076,0.001562881778886257,True,0.724962592880273,0.0
bandwidth_per_1000_frames_kb,dapper,cloud_only,congested,30,-34997.5,-35000.0,-34994.166666666664,7.628214415734117,True,2.5,35000.0
mean_latency_ms,dapper,cloud_only,congested,30,-100.18071063342182,-100.2058378304382,-100.15587085823664,0.07144776170972553,True,24.831886454720813,125.01259708814266
deadline_miss_rate,dapper,deadline_greedy,congested,30,0.0,0.0,0.0,0.0,False,0.0,0.0
