policy,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
oracle_feasible,lossy,129,100.0,1000,33.64167621610423,96.31797693613319,99.32537533494326,99.97667592845444,33.64167621610423,0.0,0.7420604978729614,0.7420604978729614,3100.0,3.1,3100.0,0.0,0.0,0.0,0.124,1.0,1.0,0.124,0.0,0.0,0.0,0.0,87.6,12.4,0.0,0.0,211,211.0
local_only,variable,100,100.0,1000,25.08692666256034,33.97167160901372,34.8038020871074,34.974338710079344,25.08692666256034,0.0,0.7249363467025005,0.7249363467025005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,variable,100,100.0,1000,95.63097725971039,133.44598063146017,134.76027410675786,134.95054826151676,95.63097725971039,0.683,0.7301347821400896,0.23372827329671286,17950.0,17.95,17950.0,0.965,0.0,0.0,0.718,0.935933147632312,0.04874651810584958,0.035,0.8871866295264624,0.0,0.06406685236768803,0.282,0.0,100.0,0.0,0.0,0,0.0
cloud_only,variable,100,100.0,1000,96.88692666256034,133.5533155176996,134.76027410675786,134.95054826151676,96.88692666256034,0.718,0.7249363467025005,0.20303448787014214,25130.0,25.13,25130.0,1.0,0.0,0.0,0.718,0.9136490250696379,0.0,0.0,0.9136490250696379,0.0,0.08635097493036212,0.282,0.0,100.0,0.0,0.0,0,0.0
dapper,variable,100,100.0,1000,19.847097399190012,33.61420558459003,34.76027410675784,34.95054826151675,21.97468170885308,0.0,0.7259116438296801,0.7309100495998946,5375.0,5.375,5375.0,0.284,0.216,0.0,0.215,0.9116279069767442,0.15348837209302327,0.033,0.7581395348837209,0.0,0.08837209302325581,0.0,56.89999999999999,0.0,21.5,21.6,342,342.0
deadline_greedy,variable,100,100.0,1000,25.08692666256034,33.97167160901372,34.8038020871074,34.974338710079344,25.08692666256034,0.0,0.7249363467025005,0.7249363467025005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,variable,100,100.0,1000,25.08692666256034,33.97167160901372,34.8038020871074,34.974338710079344,25.08692666256034,0.0,0.7249363467025005,0.7249363467025005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,variable,100,100.0,1000,25.222415867408525,34.028755147858746,34.83211437384132,118.8400067929382,25.222415867408525,0.001,0.7251401184161461,0.7244431752221995,50.0,0.05,50.0,0.001,0.0,0.0,0.002,1.0,0.5,0.001,0.5,0.0,0.0,0.0,99.8,0.2,0.0,0.0,4,4.0
oracle_feasible,variable,100,100.0,1000,27.330977259710387,34.637551404428265,95.55562322197372,99.97780457811916,27.330977259710387,0.0,0.7301347821400896,0.7301347821400896,875.0,0.875,875.0,0.0,0.0,0.0,0.035,1.0,1.0,0.035,0.0,0.0,0.0,0.0,96.5,3.5000000000000004,0.0,0.0,64,64.0
local_only,variable,101,100.0,1000,24.672838180005726,33.95371677262301,34.79413893516457,34.99816501848515,24.672838180005726,0.0,0.7264126694646463,0.7264126694646463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,variable,101,100.0,1000,97.96489328108899,133.17787718440223,134.67472465137837,134.99816501848517,97.96489328108899,0.703,0.7331697503178698,0.22200003580957367,18675.0,18.675,18675.0,0.956,0.0,0.0,0.747,0.9464524765729585,0.058902275769745646,0.044,0.8875502008032129,0.0,0.0535475234270415,0.253,0.0,100.0,0.0,0.0,0,0.0
cloud_only,variable,101,100.0,1000,99.37283818000573,133.3934237540984,134.71672936568112,134.99816501848517,99.37283818000573,0.747,0.7264126694646463,0.18347543624630472,26145.0,26.145,26145.0,1.0,0.0,0.0,0.747,0.9384203480589023,0.0,0.0,0.9384203480589023,0.0,0.06157965194109773,0.253,0.0,100.0,0.0,0.0,0,0.0
dapper,variable,101,100.0,1000,19.873228370530978,33.51859359353788,34.716729365681125,34.99816501848515,22.429717590864318,0.0,0.7275598148950951,0.7338505135735993,6025.0,6.025,6025.0,0.256,0.2,0.0,0.241,0.9294605809128631,0.15767634854771784,0.038,0.7717842323651453,0.0,0.07053941908713693,0.0,55.900000000000006,0.0,24.099999999999998,20.0,331,331.0
deadline_greedy,variable,101,100.0,1000,24.672838180005726,33.95371677262301,34.79413893516457,34.99816501848515,24.672838180005726,0.0,0.7264126694646463,0.7264126694646463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
confidence_deadline,variable,101,100.0,1000,24.672838180005726,33.95371677262301,34.79413893516457,34.99816501848515,24.672838180005726,0.0,0.7264126694646463,0.7264126694646463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
rtt_threshold,variable,101,100.0,1000,24.832504330183518,34.01001095330317,34.8056968610754,130.12421028394152,24.832504330183518,0.001,0.7266731588638888,0.7259379246303655,50.0,0.05,50.0,0.001,0.0,0.0,0.002,0.5,0.5,0.001,0.0,0.0,0.5,0.0,99.8,0.2,0.0,0.0,2,2.0
oracle_feasible,variable,101,100.0,1000,27.664893281088986,34.87259997704474,97.86639840836675,99.8309400763579,27.664893281088986,0.0,0.7331697503178698,0.7331697503178698,1100.0,1.1,1100.0,0.0,0.0,0.0,0.044,1.0,1.0,0.044,0.0,0.0,0.0,0.0,95.6,4.3999999999999995,0.0,0.0,76,76.0
local_only,variable,102,100.0,1000,24.968506693191607,34.114816730103335,34.86267395289757,34.995332379528136,24.968506693191607,0.0,0.7252394836394491,0.7252394836394491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0.0
edge_only,variable,102,100.0,1000,107.14342399175807,133.88550175178108,134.83591606013775,134.99533237952812,107.14342399175807,0.791,0.7326188721612827,0.15862333753422844,20925.0,20.925,20925.0,0.954,0.0,0.0,0.837,0.9199522102747909,0.054958183990442055,0.046,0.8649940262843488,0.0,0.08004778972520908,0.163,0.0,100.0,0.0,0.0,0,0.0
