variant,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
dapper_full,congested,109,100.0,1000,24.847059358357548,33.93181537323021,34.785030538309286,34.98925809716232,24.847059358357548,0.0,0.7234323551786083,0.7234323551786083,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,10,10.0
dapper_full,congested,110,100.0,1000,24.70223165713215,33.71973175922034,34.60151524624712,34.90888622322395,24.70223165713215,0.0,0.7246938266396346,0.7246938266396346,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,8,8.0
dapper_full,congested,111,100.0,1000,24.94253826558974,33.995133250212476,34.74455155405684,34.96241421096305,24.94253826558974,0.0,0.7254545302713125,0.7254545302713125,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,14,14.0
dapper_full,congested,112,100.0,1000,24.86963877249279,33.90095224371657,34.76580213455383,34.985906989642146,24.86963877249279,0.0,0.7266076329631779,0.7266076329631779,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,1.3,18,18.0
dapper_full,congested,113,100.0,1000,24.72292431672843,33.938019364553725,34.77247181035648,34.98424994294581,24.72292431672843,0.0,0.7265134749764945,0.7265134749764945,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,12,12.0
dapper_full,congested,114,100.0,1000,24.915906991902833,33.99518413696301,34.87476614646897,34.96282987218834,24.915906991902833,0.0,0.7286233928366593,0.7286233928366593,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,10,10.0
dapper_full,congested,115,100.0,1000,25.085740611498316,34.01033183391731,34.751795785617006,34.96593743598228,25.085740611498316,0.0,0.722824442674691,0.722824442674691,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,10,10.0
dapper_full,congested,116,100.0,1000,25.324934204252145,33.95730249293956,34.77240430108412,34.9771698353159,25.324934204252145,0.0,0.7260315559209485,0.7260315559209485,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,16,16.0
dapper_full,congested,117,100.0,1000,24.38620885543388,33.706919736517364,34.66361864084976,34.994340946660934,24.38620885543388,0.0,0.7253330615138619,0.7253330615138619,25.0,0.025,25.0,0.008,0.008,0.0,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,99.1,0.0,0.1,0.8,18,18.0
dapper_full,congested,118,100.0,1000,25.01023416650803,34.01490807545646,34.75940662114508,34.968506891824205,25.01023416650803,0.0,0.7268033495517163,0.7268033495517163,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.7000000000000001,12,12.0
dapper_full,congested,119,100.0,1000,25.237974362405513,33.930297923071485,34.79939395844596,34.97944595589328,25.237974362405513,0.0,0.7235998627315303,0.7235998627315303,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,0.5,8,8.0
dapper_full,congested,120,100.0,1000,24.770729236686982,33.99634834863332,34.78821886321599,34.985958566309606,24.770729236686982,0.0,0.724149083598059,0.724149083598059,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,16,16.0
dapper_full,congested,121,100.0,1000,24.670024513531853,33.750343569648706,34.75280697328194,34.996277370025744,24.670024513531853,0.0,0.7242193034879331,0.7242193034879331,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,10,10.0
dapper_full,congested,122,100.0,1000,24.53787182490916,33.83751458842038,34.770700984913006,34.91653465760954,24.53787182490916,0.0,0.726925307989091,0.726925307989091,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.7,0.0,0.0,1.3,14,14.0
dapper_full,congested,123,100.0,1000,24.972968667791022,34.0068905091913,34.771507219222585,34.98883073588995,24.972968667791022,0.0,0.7231981737549722,0.7231981737549722,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.2,4,4.0
dapper_full,congested,124,100.0,1000,24.68398444976012,33.74309287533703,34.66363593071505,34.94326242767353,24.68398444976012,0.0,0.7246698111318651,0.7246698111318651,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.6,10,10.0
dapper_full,congested,125,100.0,1000,24.725669553063664,34.05786747219948,34.83418763630404,34.99974319601896,24.725669553063664,0.0,0.7228975062228786,0.7228975062228786,25.0,0.025,25.0,0.012,0.012,0.0,0.001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,98.7,0.0,0.1,1.2,16,16.0
dapper_full,congested,126,100.0,1000,24.961010734873252,33.97988585528562,34.774114294105054,34.99086328598782,24.961010734873252,0.0,0.7258907807888281,0.7258907807888281,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.2,4,4.0
dapper_full,congested,127,100.0,1000,24.79915459305446,33.97839515917549,34.71031183612322,34.99801668883106,24.79915459305446,0.0,0.7241769809830646,0.7241769809830646,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,18,18.0
dapper_full,congested,128,100.0,1000,24.671514882986425,34.08647701991846,34.783499539553866,34.99302751306131,24.671514882986425,0.0,0.72324842617587,0.72324842617587,0.0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.8,12,12.0
